model_key,model_name,output_kind,band_index,band,global_mae_mean,global_mae_median,global_rmse_mean,global_psnr_mean,global_bias_mean,mask_mae_mean,mask_mae_median,mask_rmse_mean,mask_psnr_mean,mask_bias_mean,n_samples,n_mask_valid
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,blended,6,B7,0.012617558598625086,0.00978808244690299,0.016136255456027964,37.16384008189788,-0.00313503809835917,0.021598245459773863,0.018907267600297928,0.0254272081985202,32.83059311139851,0.003929640383372729,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,blended,7,B8,0.013244292201610127,0.010577072855085135,0.017137428010755684,36.588099801179965,-0.0026136992516209525,0.025499104082927847,0.020769741386175156,0.029667469865775804,31.369142521238896,0.010633514436946006,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,blended,8,B8A,0.013465914014280619,0.010557157453149557,0.017405223280851107,36.54550406294976,-0.002447663609927986,0.024773254845264957,0.02087067812681198,0.02904101977625849,31.63452727171978,0.009512303425028016,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,blended,9,B9,0.009753350243651463,0.00946979783475399,0.012391261061566183,39.232754003092545,-0.0009008626293507405,0.020628783197954616,0.017934750765562057,0.023576372524983725,33.51597494195247,0.01147068897107408,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,blended,10,B10,0.0019717612093851735,0.0012168873217888176,0.002812439079358834,56.174719156579364,-0.0009078282755581313,0.0057899354148329175,0.0030715882312506437,0.007003901774907623,47.611921872287546,-0.0026061125016449875,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,blended,11,B11,0.012831554067209558,0.009151745587587357,0.01760780452968902,37.17307947673101,0.001950131155960359,0.03563794694140765,0.026551704853773117,0.04164305472620625,29.089372420346166,0.017638356326307263,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,blended,12,B12,0.011504671837125594,0.008962232153862715,0.015859256285087515,38.40908954617428,0.003869247752239365,0.03310018017762572,0.025465205311775208,0.038181597138605014,30.017772229046955,0.018812429617490977,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,raw,0,B1,0.06250730569687828,0.03611390292644501,0.07198101958541277,25.71699226821971,0.04770470373235488,0.02057054736948711,0.014448322355747223,0.02429932451174353,34.010499587441075,-0.0009179364429746139,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,raw,1,B2,0.053799785671193,0.03217007778584957,0.06244735116585313,26.678050562391377,0.04008813968296939,0.02172640860510052,0.018196851015090942,0.025693306444997736,33.167483981390816,-0.008431293770459527,192,141
gan_resnet,GAN Multi-Temporal ResUNet dengan Custom ResNet-like Discriminator,raw,2,B3,0.0483852215911611,0.02856745757162571,0.057768389398309715,27.023467486395614,0.03485770531309148,0.02268697196908348,0.019494367763400078,0.027175326007168366,32.45358870300328,-0.009888469617225969,192,141
