output_kind,model_key,metric,n,mean,median,std,min,q1,q3,max,ci95_low,ci95_high
raw,baseline,rgb_global_pearson,192,0.7466650413267318,0.8292180132929543,0.2091189400292189,-0.0244933587379098,0.6202358548962151,0.9036071368216322,0.990449290632601,0.7170849966286947,0.7762450860247689
raw,baseline,band13_global_pearson,192,0.9094817971715212,0.9569201971669468,0.08934955824330479,0.6567362260408063,0.8500889846146489,0.9754569013777884,0.9956224509757112,0.8968432292531034,0.922120365089939
raw,baseline,rgb_global_mse,192,0.001140053466969736,0.0005676478417874613,0.001460792024126007,4.0399147311155784e-05,0.0002858551504510349,0.0011224809539667683,0.0076990721470524956,0.0009334232432217298,0.0013466836907177421
raw,baseline,band13_global_mse,192,0.0010662801925314682,0.000752572353168208,0.0010077345262675447,3.0111978330926684e-05,0.00031545969393444027,0.0014798469688225991,0.0053001451002590615,0.0009237353215284677,0.0012088250635344687
raw,baseline,rgb_mask_mse,141,0.0007212645761460011,0.000288151706183895,0.001330603797987824,1.826564677534345e-05,0.0001362531180580876,0.0007372359487143923,0.010179448931392013,0.0005016327493938461,0.0009408964028981561
raw,baseline,rgb_mask_rmse,141,0.02169773710341089,0.01697503184632933,0.015882753918267697,0.004273832796839793,0.011672751092098537,0.027152089214540976,0.10089325513329428,0.01907610152548809,0.02431937268133369
raw,baseline,band13_mask_mse,141,0.0010221709552914267,0.0003986714009748901,0.0017629379576644775,1.737111367961988e-05,0.00020630226496204526,0.0010687097992437746,0.01054557424429104,0.0007311772840888545,0.001313164626493999
raw,baseline,band13_mask_rmse,141,0.025965940730964737,0.019966757397606904,0.01871967332054147,0.004167866802048727,0.01436322613349958,0.032691127225040355,0.10269164641922458,0.02287603819663293,0.029055843265296543
raw,conditional,rgb_global_mae,192,0.01884352278640677,0.016476097663603598,0.009334443755996936,0.0038386195998706,0.01330300938181015,0.02323485084093345,0.0663259586242854,0.01752315810066801,0.020163887472145533
raw,conditional,rgb_mask_mae,141,0.017788042796718095,0.0132026568766765,0.01362766455777971,0.0031492549197867,0.0095065834395813,0.0217762756091292,0.0772610023617744,0.015538636274869172,0.02003744931856702
raw,conditional,band13_global_mae,192,0.020947508489476064,0.019948919437835902,0.009182172698983311,0.00345813929695,0.013905062081872126,0.02788267991865455,0.0422595851435406,0.01964868266899767,0.022246334309954457
raw,conditional,band13_mask_mae,141,0.020714186871915893,0.016332713585667,0.014851682218504622,0.0031191256626804,0.0118671445204394,0.0261729471086978,0.0854050143967037,0.0182627418204848,0.023165631923346985
raw,conditional,rgb_global_psnr,192,33.31896236753943,33.29074262738645,3.738022734045136,23.0733171001056,30.962964027254113,35.36197765580591,44.44994316997493,32.79021600176364,33.847708733315216
raw,conditional,rgb_mask_psnr,141,34.8164884275743,35.310292757989814,5.268671423477106,21.985107573116927,31.624206775664344,38.24600790415305,47.85060909541894,33.946832162467395,35.686144692681204
raw,conditional,band13_global_psnr,192,32.04175593882041,31.369681585574497,4.215294319470788,25.26999725867514,28.836146881155166,34.74307439873378,47.152038284636085,31.445499117855718,32.6380127597851
raw,conditional,band13_mask_psnr,141,33.13665590377022,33.26675123073637,5.418364467174012,19.8975877737702,29.856627785510028,36.37679670423675,47.68640350852551,32.24229103893666,34.031020768603774
