split,variable,n_pixels,min,p01,p05,p25,median,mean,p75,p95,p99,max,std,quantile_method
train,S2_B1_all_t,402653184,0.09650000184774399,0.1204833984375,0.1287841796875,0.1549072265625,0.1788330078125,0.24846476572934115,0.2486572265625,0.6712646484375,0.8272705078125,1.0,0.1659026991133513,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S2_B5_all_t,50331648,0.019999999552965164,0.0316162109375,0.0819091796875,0.1446533203125,0.2027587890625,0.2585149324152221,0.3050537109375,0.6705322265625,0.8492431640625,1.0,0.17685495850366262,4096-bin histogram over all pixels; maximum bin error 1/4096
test,pseudo_target_B5,12582912,0.02786850929260254,0.0345458984375,0.0572509765625,0.1090087890625,0.1597900390625,0.16327279240798362,0.2086181640625,0.2821044921875,0.3333740234375,0.8767327070236206,0.0704693363348695,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S2_B6_all_t,50331648,0.003700000001117587,0.0301513671875,0.0992431640625,0.1756591796875,0.2310791015625,0.2827341419867297,0.3280029296875,0.6820068359375,0.8590087890625,1.0,0.17331389258601437,4096-bin histogram over all pixels; maximum bin error 1/4096
test,pseudo_target_B6,12582912,0.018305569887161255,0.0311279296875,0.0648193359375,0.1441650390625,0.1915283203125,0.19107552449201495,0.2362060546875,0.3074951171875,0.3597412109375,0.9138333797454834,0.07260455644300023,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S2_B7_all_t,50331648,0.012799999676644802,0.0281982421875,0.1041259765625,0.1883544921875,0.2501220703125,0.2973445047075525,0.3477783203125,0.6929931640625,0.8731689453125,1.0,0.17428202969909565,4096-bin histogram over all pixels; maximum bin error 1/4096
test,pseudo_target_B7,12582912,0.021145153790712357,0.0294189453125,0.0670166015625,0.1546630859375,0.2071533203125,0.20569989463046165,0.2562255859375,0.3304443359375,0.3839111328125,0.8632252216339111,0.07837895863941698,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S2_B8_all_t,50331648,0.012400000356137753,0.0230712890625,0.0968017578125,0.1802978515625,0.2420654296875,0.288588518682899,0.3397216796875,0.6807861328125,0.8529052734375,1.0,0.17241904795537105,4096-bin histogram over all pixels; maximum bin error 1/4096
test,pseudo_target_B8,12582912,0.01654776558279991,0.0247802734375,0.0577392578125,0.1478271484375,0.1998291015625,0.19887848808882072,0.2493896484375,0.3255615234375,0.3819580078125,0.7408791780471802,0.07863904076308864,4096-bin histogram over all pixels; maximum bin error 1/4096
test,S2_B8A_all_t,50331648,9.999999747378752e-05,0.0223388671875,0.1051025390625,0.1951904296875,0.2623291015625,0.30561673308278464,0.3607177734375,0.6964111328125,0.8768310546875,1.0,0.17448551677640559,4096-bin histogram over all pixels; maximum bin error 1/4096
test,pseudo_target_B8A,12582912,0.011126062832772732,0.0242919921875,0.0648193359375,0.1602783203125,0.2171630859375,0.21487536721165154,0.2698974609375,0.3472900390625,0.4036865234375,0.8317662477493286,0.08360210412133301,4096-bin histogram over all pixels; maximum bin error 1/4096
